As2000 Simbols Table
#vb7006;VbCmdAzzAx1;Asse 1 - Comando azzeramento asse
#vb7013;VbFlgAzzAx1;Asse 1 - Flag asse azzerato
#vb7014;VbFlgPosAx1;Asse 1 - Flag asse in posizione
#vb7026;VbCmdAzzAx2;Asse 2 - Comando azzeramento asse
#vb7033;VbFlgAzzAx2;Asse 2 - Flag asse azzerato
#vb7034;VbFlgPosAx2;Asse 2 - Flag asse in posizione
#vb7046;VbCmdAzzAx3;Asse 3 - Comando azzeramento asse
#vb7053;VbFlgAzzAx3;Asse 3 - Flag asse azzerato
#vb7054;VbFlgPosAx3;Asse 3 - Flag asse in posizione
#vb7066;VbCmdAzzAx4;Asse 4 - Comando azzeramento asse
#vb7073;VbFlgAzzAx4;Asse 4 - Flag asse azzerato
#vb7074;VbFlgPosAx4;Asse 4 - Flag asse in posizione
#vb7086;VbCmdAzzAx5;Asse 5 - Comando azzeramento asse
#vb7093;VbFlgAzzAx5;Asse 5 - Flag asse azzerato
#vb7094;VbFlgPosAx5;Asse 5 - Flag asse in posizione
#vb7106;VbCmdAzzAx6;Asse 6 - Comando azzeramento asse
#vb7113;VbFlgAzzAx6;Asse 6 - Flag asse azzerato
#vb7114;VbFlgPosAx6;Asse 6 - Flag asse in posizione
#vb7126;VbCmdAzzAx7;Asse 7 - Comando azzeramento asse
#vb7133;VbFlgAzzAx7;Asse 7 - Flag asse azzerato
#vb7134;VbFlgPosAx7;Asse 7 - Flag asse in posizione
#vb7146;VbCmdAzzAx8;Asse 8 - Comando azzeramento asse
#vb7153;VbFlgAzzAx8;Asse 8 - Flag asse azzerato
#vb7154;VbFlgPosAx8;Asse 8 - Flag asse in posizione
#vb7166;VbCmdAzzAx9;Asse 9 - Comando azzeramento asse
#vb7173;VbFlgAzzAx9;Asse 9 - Flag asse azzerato
#vb7174;VbFlgPosAx9;Asse 9 - Flag asse in posizione
#vb7186;VbCmdAzzAx10;Asse 10 - Comando azzeramento asse
#vb7193;VbFlgAzzAx10;Asse 10 - Flag asse azzerato
#vb7194;VbFlgPosAx10;Asse 10 - Flag asse in posizione
#vb7901;VbChn1Start;VB START canale 1
#vb7903;VbChn1Reset;VB RESET canale 1
#vb7908;VbChn1AutoRun;VB Auto Running canale 1
#vb7921;VbChn2Start;VB START canale 2
#vb7923;VbChn2Reset;VB RESET canale 2
#vb7928;VbChn2AutoRun;VB Auto Running canale 2
#vb7941;VbChn3Start;VB START canale 3
#vb7943;VbChn3Reset;VB RESET canale 3
#vb7948;VbChn3AutoRun;VB Auto Running canale 3
#vn1;VnErrCodeCamme;Codice di erore delle funzioni di camme
#vn2;Vn2CodiceAllarmeXHmi;codice allarme da visualizzare su HMI
#vn3;Vn3CodiceAllarmeUdf;codice allarme lettura udf
#vn4;Vn4CodiceWarning;codice warning inviato dal PLC al HMI
#vn10;Vn10MemoStatoCuci1;Memorizzo lo stato cuci 1 quando sono in step o reset piegatore ( macchina a stati canale 3 )
#vn11;VnStatoCuci1;Stato cuci 1 ( macchina a stati canale 3 )
#vn12;VnStatoCuci2;Stato cuci 2 ( macchina a stati canale 3 )
#vn13;Vn13MemoStatoCuci2;Memorizzo lo stato cuci 1 quando sono in step traslatore ( macchina a stati canale 3 )
#vn14;Vn14TipoScartafiloC1;0 = no scartafilo, 1 = scartafilo dopo ritorno punto carico 2 = scartafilo ogni rasafilo
#vn15;Vn15TipoScartafiloC2;0 = no scartafilo, 1 = scartafilo dopo ritorno punto carico 2 = scartafilo ogni rasafilo
#vn16;Vn16GoCuci;=1 C1_ExeCucitura può partire a cucire,=2 abort C1_ExeCucitura
#vn17;Vn17GoCuci_C2;=1 C1_ExeCucitura può partire a cucire,=2 abort C1_ExeCucitura
#vn20;Fun202VnParIndx_0;Codice della funzione
#vn21;Fun202VnParIndx_1;FunId – identificativo della funzione
#vn22;Fun202VnParIndx_2;Indice vb abilitazione della funzione
#vn23;Fun202VnParIndx_3;Indice vq contatore
#vn101;Vn101_Piegatore1_CH;Numero Primo piegatore attivato
#vn102;Vn102_Piegatore2_CH;Numero Secondo piegatore attivato
#vn103;Vn103_Piegatore3_CH;Numero Terzo piegatore attivato
#vn104;Vn104_Piegatore4_CH;Numero Quarto piegatore attivato
#vn105;Vn105_Piegatore1_AP;Numero Primo piegatore disattivato
#vn106;Vn106_Piegatore2_AP;Numero Secondo piegatore disattivato
#vn107;Vn107_Piegatore3_AP;Numero Terzo piegatore disattivato
#vn108;Vn108_Piegatore4_AP;Numero Quarto piegatore disattivato
#vn109;Vn109_OrdinePiegCH;ordine chiusura piegatori memorizzato su programma
#vn110;Vn110_OrdinePiegAP;ordine apertura piegatori memorizzato su programma
#vn111;Vn111_EnbEtichetta;/// a ON abilito la pausa per mettere l'etichetta ( 1 = tutte) ( 2 = 1 si 1 no )
#vn112;Vn112_AppEtichettaMod_2;/// utilizzata come appoggio modo 2 ( se serve mettere reset )
#vn115;Vn115_CopiaSeqPiegFree;copia sequenza piegatura Free per pagina touch
#vn120;Vn120_AppEnbScambioPinzeC1_Car2;a 1 abilito tipo scambio pinza tra cucitrice 1 e caricatore 2
#vn131;Vn131_Debug;debug su pagina AUTO touch
#vn132;Vn132_DebugPie;debug su pagina AUTO touch
#vn133;Vn133_DebugAuto;debug su pagina AUTO touch
#vn151;Vn151_SpeedStep1;vn velocità jog assi pinza comandati da HMI step 1
#vn152;Vn152_SpeedStep2;vn velocità jog assi pinza comandati da HMI step 2
#vn153;Vn153_SpeedStep3;vn velocità jog assi pinza comandati da HMI step 3
#vn160;mc_stati_PiuMenoTensione;indice macchina stati per gestione tasti + - del valore tensione filo
#vn161;mc_stati_PiuMenoTensioneT2;indice macchina stati per gestione tasti + - del valore tensione filo
#vn162;Vn162_Read_anaout99;
#vn163;Vn163_Read_anaout100;
#vn164;mc_stati_Carica_Pattina;
#vn180;Vn180_Device_Rinforzo;0= disabilitato, 1 = tipo JAM, 2 = tipo Turco
#vn196;Vn196_Tasca_DX_C1;
#vn197;Vn197_Tasca_SX_C1;
#vn198;Vn198_Tasca_DX_C2;
#vn199;Vn199_Tasca_SX_C2;
#vn200;Vn200_Tipo_DXSX_Ultima_cucita_su_C1;0 = nessuna indicazione dalla C1, 1 = la tasca prelevata dal traslatore dalla testa 1 era DX,2 = la tasca prelevata dal traslatore dalla testa 1 era SX
#vn201;Vn201PrgForkPiegatore;
#vn202;Vn202PrgForkCaricatoreMan;
#vn203;Vn203PrgForkResetFolder;
#vn231;VnDeltaCntGiri_C1;
#vn232;VnMemCntGiri_C1;
#vn233;VnDeltaCntGiri_C2;
#vn234;VnMemCntGiri_C2;
#vn236;CodiceDeviceOptional;
#vn240;Vn240AnnoOrologioPLC;
#vn241;Vn241MeseOrologioPLC;
#vn242;Vn242giornoOrologioPLC;
#vn243;Vn243OraOrologioPLC;
#vn244;Vn244MinutiOrologioPLC;
#vn245;Vn245secondiOrologioPLC;
#vn246;Vn246LimiteAnno;
#vn247;Vn247LimiteMese;
#vn248;Vn248LimiteGiorno;
#vn320;Vn_ID_macchina;vn numero identificatore macchina,
#vn777;v_ntest;
#vn778;vntest1;
#vn779;vntest2;
#vn780;vntest3;
#vn800;Fun301_vn4000_err;
#vn801;Fun301_vn4001_rete;
#vn802;Fun301_vn4002_noto;
#vn803;Fun301_vn4003_indice;
#vn804;Fun301_vn4004_sub;
#vn805;Fun301_vn4005_dim;
#vn806;Fun301_vn4006_idResult;
#vn3001;VnOvdAx1;Asse 1 - Override indipendente
#vn3011;VnFaseZeroAx1;Asse 1 - Fase azzeramento
#vn3013;VnStatoAx1;Asse 1 - Status asse
#vn3021;VnOvdAx2;Asse 2 - Override indipendente
#vn3031;VnFaseZeroAx2;Asse 2 - Fase azzeramento
#vn3033;VnStatoAx2;Asse 2 - Status asse
#vn3041;VnOvdAx3;Asse 3 - Override indipendente
#vn3042;VnVelJogAx3;
#vn3049;VnVelSemiAutoAx3;
#vn3051;VnFaseZeroAx3;Asse 3 - Fase azzeramento
#vn3053;VnStatoAx3;Asse 3 - Status asse
#vn3061;VnOvdAx4;Asse 4 - Override indipendente
#vn3071;VnFaseZeroAx4;Asse 4 - Fase azzeramento
#vn3073;VnStatoAx4;Asse 4 - Status asse
#vn3081;VnOvdAx5;Asse 5 - Override indipendente
#vn3082;VnVelJogAx5;
#vn3089;VnVelSemiAutoAx5;
#vn3091;VnFaseZeroAx5;Asse 5 - Fase azzeramento
#vn3093;VnStatoAx5;Asse 5 - Status asse
#vn3101;VnOvdAx6;Asse 6 - Override indipendente
#vn3111;VnFaseZeroAx6;Asse 6 - Fase azzeramento
#vn3113;VnStatoAx6;Asse 6 - Status asse
#vn3121;VnOvdAx7;Asse 7 - Override indipendente
#vn3131;VnFaseZeroAx7;Asse 7 - Fase azzeramento
#vn3133;VnStatoAx7;Asse 7 - Status asse
#vn3141;VnOvdAx8;Asse 8 - Override indipendente
#vn3142;VnVelJogAx8;
#vn3149;VnVelSemiAutoAx8;
#vn3151;VnFaseZeroAx8;Asse 8 - Fase azzeramento
#vn3153;VnStatoAx8;Asse 8 - Status asse
#vn3161;VnOvdAx9;Asse 9 - Override indipendente
#vn3171;VnFaseZeroAx9;Asse 9 - Fase azzeramento
#vn3173;VnStatoAx9;Asse 9 - Status asse
#vn3181;VnOvdAx10;Asse 10 - Override indipendente
#vn3182;VnVelJogAx10;
#vn3189;VnVelSemiAutoAx10;
#vn3191;VnFaseZeroAx10;Asse 10 - Fase azzeramento
#vn3193;VnStatoAx10;Asse 10 - Status asse
#vn3804;Vn3804_PageID;Pagina in esecuzione
#vq1;CamMode;Camme: modo operativo
#vq2;CamAxNum;Camme: numero dell'asse
#vq3;CamDigOut;Camme: n. uscita digitale o indice VB
#vq4;CamStart;Camme: soglia start
#vq5;CamStop;Camme: soglia stop
#vq6;CamModule;Camme: modulo
#vq10;CamCmd;Camme: comando
#vq11;CamPar1;Camme: parametro 1
#vq12;CamPar2;Camme: parametro 2
#vq13;CamPar3;Camme: parametro 3
#vq14;CamPar4;Camme: parametro 4
#vq15;CamPar5;Camme: parametro 5
#vq20;RollPlcAgoModule;Rollover asse ago - Modulo
#vq21;RollPlcAgoQuo;Rollover asse ago - Quota dopo il rollover
#vq22;GoAxPlcAgoErrCode;GoAx asse ago - ErrorCode
#vq23;GoAxPlcAgoModule;GoAx asse ago - Modulo per asse tondo
#vq24;GoAxPlcAgoVel;GoAx asse ago - Velocita'
#vq25;StopPlcAgoErrCode;Stop asse ago - ErrorCode
#vq26;StopPlcAgoQuoObj;Stop asse ago - Quota obiettivo
#vq27;StopPlcAgoFuture;Stop asse ago - future espansioni
#vq28;MovePlcAgoErrCode;Mov. asse ago - ErrorCode
#vq29;MovePlcAgoQuoObj;Mov. asse ago - Quota obiettivo
#vq30;MovePlcAgoVel;Mov. asse ago - Velocita'
#vq31;MovePlcAgoFuture;Mov. asse ago - future espansioni
#vq51;PosAx_C1_AsseX;Cucitrice 1 - Asse X
#vq52;PosAx_C1_AsseY;Cucitrice 1 - Asse Y
#vq53;PosAx_C1_AsseAGO;Cucitrice 1 - Asse AGO
#vq54;PosAx_C1_AsseCRO;Cucitrice 1 - Asse CROCHET
#vq55;PosAx_C1_AsseCAR;Cucitrice 1 - Asse CARICATORE
#vq56;PosAx_C2_AsseX;Cucitrice 2 - Asse X
#vq57;PosAx_C2_AsseY;Cucitrice 2 - Asse Y
#vq58;PosAx_C2_AsseAGO;Cucitrice 2 - Asse AGO
#vq59;PosAx_C2_AsseCRO;Cucitrice 2 - Asse CROCHET
#vq60;PosAx_C2_AsseCAR;Cucitrice 2 - Asse CARICATORE
#vq61;PosAx11;Posizione asse 11
#vq62;PosAx12;Posizione asse 12
#vq63;PosAx13;Posizione asse 13
#vq64;PosAx14;Posizione asse 14
#vq65;PosAx15;Posizione asse 15
#vq66;PosAx16;Posizione asse 16
#vq100;Vq_100_WRITE_FC_ind_X;Vq scrittura fine corsa indietro asse X
#vq101;Vq_101_WRITE_FC_ava_X;Vq scrittura fine corsa avanti asse X
#vq102;Vq_102_WRITE_FC_ind_Y;Vq scrittura fine corsa indietro asse Y
#vq103;Vq_103_WRITE_FC_ava_Y;Vq scrittura fine corsa avanti asse Y
#vq104;Vq_104_READ_FC_ind_X;Vq lettura fine corsa indietro asse X
#vq105;Vq_105_READ_FC_ava_X;Vq lettura fine corsa avanti asse X
#vq106;Vq_106_READ_FC_ind_Y;Vq lettura fine corsa indietro asse Y
#vq107;Vq_107_READ_FC_ava_Y;Vq lettura fine corsa avanti asse Y
#vq108;Vq108_WRITE_Vel_manualeAgo_C1;Vq da inserire nel parametro asse velocità manuale asse Ago
#vq109;Vq109_WRITE_Vel_manualeAgo_C2;Vq da inserire nel parametro asse velocità manuale asse Ago
#vq110;Vq_110_READ_FC_ind_CARIC;Vq lettura fine corsa dietro caricatore
#vq111;Vq_111_READ_FC_ava_CARIC;Vq lettura fine corsa avanti caricatore
#vq114;Vq_114_READ_FC_ind_X_C2;Vq lettura fine corsa indietro asse X C2
#vq115;Vq_115_READ_FC_ava_X_C2;Vq lettura fine corsa avanti asse X C2
#vq116;Vq_116_READ_FC_ind_Y_C2;Vq lettura fine corsa indietro asse Y V"
#vq117;Vq_117_READ_FC_ava_Y_C2;Vq lettura fine corsa avanti asse Y C2
#vq118;Vq_118_READ_FC_ind_CARIC_C2;Vq lettura fine corsa indietro traslatore
#vq119;Vq_119_READ_FC_ava_CARIC_C2;Vq lettura fine corsa avanti traslatore
#vq3000;Vq3000_RitPiegatoreAD_ON;
#vq3001;Vq3001_RitPiegatoreAD_OFF;
#vq3002;Vq3002_RitPiegatoreAlto_ON;
#vq3003;Vq3003_RitPiegatoreAlto_OFF;
#vq3004;Vq3004_RitElettrocPerno_ON;
#vq3005;Vq3005_RitElettrocPerno_OFF;
#vq3006;Vq3006_RitPiegatore_1_ON;
#vq3007;Vq3007_RitPiegatore_1_OFF;
#vq3008;Vq3008_RitPiegatore_2_ON;
#vq3009;Vq3009_RitPiegatore_2_OFF;
#vq3010;Vq3010_RitPiegatore_3_ON;
#vq3011;Vq3011_RitPiegatore_3_OFF;
#vq3012;Vq3012_RitPiegatore_4_ON;
#vq3013;Vq3013_RitPiegatore_4_OFF;
#vq3014;Vq3014_RitBilancere_ON;
#vq3015;Vq3015_RitBilancere_OFF;
#vq3016;Vq3016_RitElettrocSotto_ON;
#vq3017;Vq3017_RitElettrocSotto_OFF;
#vq3018;Vq3018_RitPosCaricatoreCarico;
#vq3019;Vq3019_RitPosCaricatoreScarico;
#vq3020;Vq3020_RitPinzaCaricatore_ON;
#vq3021;Vq3021_RitPinzaCaricatore_OFF;
#vq3022;Vq3022_RitLancia_ON;////// non utilizzato
#vq3023;Vq3023_RitLancia_OFF;
#vq3024;Vq3024_RitCarSopraLancia;
#vq3025;Vq3025_RitCarRispettoBarra2;
#vq3050;Vq3050_RitC1_Pinza_est_ON;non utilizzato
#vq3051;Vq3050_RitC1_Pinza_est_OFF;
#vq3052;Vq3052_RitC1_Pinza_int_ON;
#vq3053;Vq3053_Tim_C1_Scartafilo;
#vq3054;Vq3054_C1_VelFeed_Reset;Velocità movimenti XY durante Reset chiamato da HMI
#vq3057;C1_SogliaVelRaffAgo;soglia velocita' raffreddamento ago
#vq3058;C2_SogliaVelRaffAgo;soglia velocita' raffreddamento ago
#vq3060;Vq3060_;non utilizzato
#vq3063;Vq3063_Tim_C2_Scartafilo;
#vq3070;Vq3070_RitPinzaTraslatore_ON;
#vq3071;Vq3071_RitTras_Scaric;
#vq3079;Vq3079_RitBar2Off_Bar1Off;
#vq3080;Vq3080_RitScaricatoreDxSx_ON_OK;
#vq3081;Vq3081_RitScaricatoreDxSx_OFF;
#vq3082;Vq3082_RitScaricatorePrimaBarra;
#vq3083;Vq3083_RitScaricatoreSecondaBarra;
#vq3084;Vq3084_SpostamentoPinzaPezziCorti;
#vq3085;Vq3085_RitPrimaBarra_ScarSuRasafilo;
#vq3090;Vq3090_TimeoutSensori;
#vq3091;Vq3091_TimeAsp_Lentezza;
#vq3092;Vq3092_QuoteLimiteAsseY_C1;se durante l'azzeramento l'asse Y si trova sotto a questa quota allora sposto l'asse Y a questa quota e poi azzero X
#vq3093;Vq3093_QuoteLimiteAsseY_C2;se durante l'azzeramento l'asse Y si trova sotto a questa quota allora sposto l'asse Y a questa quota e poi azzero X
#vq3094;Vq3094_TimeColpoTensione;durata del colpo forte per chiudere la tensione filo
#vq3095;Vq3095_TimeChiusTensTasti;quando premo i teasti Ten+ e Tens- su HMI la tensione rimane chiusa per questo tempo
#vq3106;Vq3106_RitPiegatore_1_ON;variabile per memorizzare tempo su sequenza Standard
#vq3107;Vq3107_RitPiegatore_1_OFF;variabile per memorizzare tempo su sequenza Standard
#vq3108;Vq3108_RitPiegatore_2_ON;variabile per memorizzare tempo su sequenza Standard
#vq3109;Vq3109_RitPiegatore_2_OFF;variabile per memorizzare tempo su sequenza Standard
#vq3110;Vq3110_RitPiegatore_3_ON;variabile per memorizzare tempo su sequenza Standard
#vq3111;Vq3111_RitPiegatore_3_OFF;variabile per memorizzare tempo su sequenza Standard
#vq3112;Vq3112_RitPiegatore_4_ON;variabile per memorizzare tempo su sequenza Standard
#vq3113;Vq3113_RitPiegatore_4_OFF;variabile per memorizzare tempo su sequenza Standard
#vq3114;Vq3114_RitPiegatore_1_ON;variabile per memorizzare tempo su sequenza Curve3
#vq3115;Vq3115_RitPiegatore_1_OFF;variabile per memorizzare tempo su sequenza Curve3
#vq3116;Vq3116_RitPiegatore_2_ON;variabile per memorizzare tempo su sequenza Curve3
#vq3117;Vq3117_RitPiegatore_2_OFF;variabile per memorizzare tempo su sequenza Curve3
#vq3118;Vq3118_RitPiegatore_3_ON;variabile per memorizzare tempo su sequenza Curve3
#vq3119;Vq3119_RitPiegatore_3_OFF;variabile per memorizzare tempo su sequenza Curve3
#vq3120;Vq3120_RitPiegatore_4_ON;variabile per memorizzare tempo su sequenza Curve3
#vq3121;Vq3121_RitPiegatore_4_OFF;variabile per memorizzare tempo su sequenza Curve3
#vq3122;Vq3122_RitPiegatore_1_ON;variabile per memorizzare tempo su sequenza Square
#vq3123;Vq3123_RitPiegatore_1_OFF;variabile per memorizzare tempo su sequenza Square
#vq3124;Vq3124_RitPiegatore_2_ON;variabile per memorizzare tempo su sequenza Square
#vq3125;Vq3125_RitPiegatore_2_OFF;variabile per memorizzare tempo su sequenza Square
#vq3126;Vq3126_RitPiegatore_3_ON;variabile per memorizzare tempo su sequenza Square
#vq3127;Vq3127_RitPiegatore_3_OFF;variabile per memorizzare tempo su sequenza Square
#vq3128;Vq3128_RitPiegatore_4_ON;variabile per memorizzare tempo su sequenza Square
#vq3129;Vq3129_RitPiegatore_4_OFF;variabile per memorizzare tempo su sequenza Square
#vq3130;Vq3130_RitPiegatore_1_ON;variabile per memorizzare tempo su sequenza Free
#vq3131;Vq3131_RitPiegatore_1_OFF;variabile per memorizzare tempo su sequenza Free
#vq3132;Vq3132_RitPiegatore_2_ON;variabile per memorizzare tempo su sequenza Free
#vq3133;Vq3133_RitPiegatore_2_OFF;variabile per memorizzare tempo su sequenza Free
#vq3134;Vq3134_RitPiegatore_3_ON;variabile per memorizzare tempo su sequenza Free
#vq3135;Vq3135_RitPiegatore_3_OFF;variabile per memorizzare tempo su sequenza Free
#vq3136;Vq3136_RitPiegatore_4_ON;variabile per memorizzare tempo su sequenza Free
#vq3137;Vq3137_RitPiegatore_4_OFF;variabile per memorizzare tempo su sequenza Free
#vq3138;Vq3138_RitPiegatore_1_ON;variabile per memorizzare tempo su sequenza Curve5
#vq3139;Vq3139_RitPiegatore_1_OFF;variabile per memorizzare tempo su sequenza Curve5
#vq3140;Vq3140_RitPiegatore_2_ON;variabile per memorizzare tempo su sequenza Curve5
#vq3141;Vq3141_RitPiegatore_2_OFF;variabile per memorizzare tempo su sequenza Curve5
#vq3142;Vq3142_RitPiegatore_3_ON;variabile per memorizzare tempo su sequenza Curve5
#vq3143;Vq3143_RitPiegatore_3_OFF;variabile per memorizzare tempo su sequenza Curve5
#vq3144;Vq3144_RitPiegatore_4_ON;variabile per memorizzare tempo su sequenza Curve5
#vq3145;Vq3145_RitPiegatore_4_OFF;variabile per memorizzare tempo su sequenza Curve5
#vq3160;Vq3160_ContSensPiegatoreSu;punti contati dalla molla rottura filo
#vq3200;Vq3200_Time_Caricatore_Pattina_avanti;tempo tra caricatore verso operatore e giu
#vq3201;Vq3201_Time_SoffioPattina;tempo soffi per lasciare la pattina
#vq3202;Vq3202_Time_pinza_blocca_pattin;tempo necessario a far avanzare la pinza blocca pattina sulladima
#vq3203;Vq3203_Ritardo_PartenzaCuciPat;dopo che la prima pinza ha bloccato la pattina, parto a cucire per la prima cucitura
#vq3204;Vq3204_Ritardo_PiegaturaPat;ritardo prima di piegare la pattina
#vq3205;Vq3205_Ritardo_SecondaCuciPat;ritardo la piegatura della pattina e la partenza della seconda cucitura
#vq3500;Vq3500_PosizioneCaricRiposo;posizione caricatore a riposo fuori ingombro
#vq3501;Vq3501_PosizioneCaricCaricoTasca;posizione caricatore carico tasca
#vq3502;Vq3502_PosizioneCaricScaricoTasca;posizione caricatore scarico tasca
#vq3503;Vq3503_PosizioneCaricLiberaPinzaC1;posizione caricatore dopo scarico per abbassare la pinza C1
#vq3504;Vq3504_AppPosizioneCaricLiberaPinzaC1;posizione caricatore dopo scarico per abbassare la pinza C1 calcolata in base alla velocità
#vq3505;Vq3505_CoeffPosizioneCaricLiberaPinzaC1;coefficente calcolo posizione caricatore dopo scarico per abbassare la pinza C1 calcolata in base alla velocità
#vq3510;Vq3510_VelocitaCaricRiposo;Velocità  caricatore a vuoto %
#vq3511;Vq3511_VelocitaCaricLavoro;Velocità  caricatore lavoro %
#vq3512;Vq3512_VelocitaCaricTastiPieCar;Velocità  caricatore quando lo sposto con i tasti piegatore e caricatore %
#vq3513;Vq3513_VelCarAppoggio;
#vq3520;Vq3520_PosizioneTraslScaricaC2;posizione traslatore scarico C2
#vq3521;Vq3521_PosizioneTraslAspCaricoTascaC1;posizione traslatore aspetta carico tasca
#vq3522;Vq3522_PosizioneTraslCaricoTascaC1;posizione traslatore carico tasca su cucitrice 1
#vq3523;Vq3523_PosizioneTraslAspScaricoC2;posizione traslatore aspetta scarico su cucitrice 2
#vq3524;Vq3524_AppPosInizio;appoggio
#vq3525;Vq3525_PosizioneTraslAspScaricoC2_XL;posizione traslatore aspetta scarico su cucitrice 2 quarto XL
#vq3530;Vq3530_VelocitaTraslRiposo;Velocità  traslatore a vuoto %
#vq3531;Vq3531_VelocitaTraslLavoro;Velocità  traslatore lavoro %
#vq3535;Vq3535_PosAsseX_TaraturaPinzaAgo;posizione asse X taratura pinza ago
#vq3536;Vq3536_PosAsseY_TaraturaPinzaAgo;posizione asse Y taratura pinza ago
#vq3540;Vq3540_PuntiAvvioDxSx;numero punti avvicinamento scaricatore prima della fine cucitura
#vq3550;Vq3550_PosAsseY_C2_OFF;posizione asse Y cucitrice 2 selezionata
#vq3560;Vq3560_N_PuntiRottFiloC1;punti impostati rottura filo
#vq3561;Vq3561_ContPuntiRottFiloC1;punti contati dalla molla rottura filo
#vq3562;Vq3562_N_PuntiRottFiloC2;punti impostati rottura filo
#vq3563;Vq3563_ContPuntiRottFiloC2;punti contati dalla molla rottura filo
#vq3564;Vq3564_Debug;
#vq3565;Vq3565_debug;
#vq3566;Vq3566_debug;
#vq3591;Vq3591_CNT_CicliAutomaticoUser;conteggio cicli automatico azzerabile da utente            valore 0.001
#vq3592;Vq3592_CNT_CicliAutomaticoVita;conteggio cicli automatico vita macchina                valore 0.001
#vq3593;Vq3593_CNT_CicliAutomaticoVitaX100K;conteggio cicli automatico vita macchina x 100000        a 100000 di vq3592 incrementa valore 0.001
#vq3596;Vq3596_ContPuntiSpolaC1;conteggio punti fatti
#vq3597;Vq3597_ImpPuntiSpolaC1;conteggio punti da fare
#vq3598;Vq3598_ContPuntiSpolaC2;conteggio punti fatti
#vq3599;Vq3599_ImpPuntiSpolaC2;conteggio punti da fare
#vq3600;GoAxPlcCaricErrCode;GoAx asse caricatore - ErrorCode
#vq3601;GoAxPlcCariObj;GoAx asse caricatore - quota obbiettivo
#vq3602;GoAxPlcCaricVel;GoAx asse caricatore - Velocita'
#vq3603;GoAxPlcCaric;GoAx asse caricatore - Libera
#vq4000;FUN301_vq4000;
#i1;i1_Pulsanti_start;
#i2;i2_C1_Pedana;
#i3;i3_C1_PedanaPiegatore;
#i4;i4_C1_FcZeroCrochet;
#i5;i5_FcPinzaCaricoAlta;
#i6;i6_FcMinCaricatore1;
#i7;i7_FcPiegatore_AV;
#i8;i8_FcPiegatore_DI;
#i9;i9_FcPiegatoreBasso;
#i10;i10_Piegatore_Salito;
#i11;i11_FcLancia_DI;
#i12;i12_Bilanciere_Alto;
#i13;i13_Bilanciere_Basso;
#i14;i14_Rinforzo_Attivo;
#i15;i15_Rinforzo_ready;
#i16;i16;
#i17;i17;
#i18;i18_C1_RotturaFilo;
#i19;i19_C1_FcMinAsseX;
#i20;i20_C1_FcMinAsseY;
#i21;i21_Emg;
#i22;i22_C1_FcZeroAgo;
#i23;i23_C1_PinzaIntBassa;
#i24;i24_C1_PinzaEstAlta;
#i25;i25_PulsResetFolder;
#i26;i26_C1_PulsStopTesta;
#i27;i27_C2_PulsStopTesta;
#i28;i28;
#i29;i29;
#i30;i30;
#i31;i31_C1_ReadyAsseX;
#i32;i32_C1_ReadyAsseY;
#i33;i33_C2_Pedana;
#i34;i34;
#i35;i35_Pressostato;
#i36;i36;
#i37;i37_C2_FcZeroCrochet;
#i38;i38_FcPinzaTraslAlta;
#i39;i39_FcMinCaricatore2;
#i40;i40;
#i41;i41_CarPat_Top_SUGIu;
#i42;i42_CarPat_Middle_SUGIu;
#i43;i43_CarPat_Bottom_SUGIu;
#i44;i44_CarPat_Tastatore;
#i45;i45_CarPat_Empty;
#i46;i46_CarPat_BackPos;
#i47;i47_C2_ReadyAsseX;
#i48;i48_C2_ReadyAsseY;
#i49;i49;
#i50;i50_C2_RotturaFilo;
#i51;i51_C2_FcMinAsseX;
#i52;i52_C2_FcMinAsseY;
#i53;i53_C2_FcMaxAsseY;
#i54;i54_C2_FcZeroAgo;
#i55;i55_C2_FcPinzaIntBassa;
#i56;i56;
#i57;i57;
#i58;i58_C2_PulsStopTesta;
#i59;i59;
#i60;i60;
#i61;i61;
#i62;i62;
#i63;i63;
#i64;i64;
#o1;o1_Piegatore_1;
#o2;o2_Piegatore_2;
#o3;o3_Piegatore_3;
#o4;o4_Piegatore_4;
#o5;o5_Cambio_corpo;
#o6;o6_Cambio_lama_front;
#o7;o7_Cambio_lame_lateral;
#o8;o8_Cambio_Lamelle_4_5;
#o9;o9_Lancia_AD;
#o10;o10_Piegatore_AD;
#o11;o11_Piegatore_Su_Giu;
#o12;o12_Bilanciere_Su_Giu;
#o13;o13_Lancia_Cargo_Aperta;
#o14;o14_C1_rasafilo;
#o15;o15_EvAspiratore;
#o16;o16_Lancia_Cargo_Chiusa;
#o17;o17_C1_Piedino;
#o18;o18_C1_Pinza_int;
#o19;o19_C1_Pinza_est;
#o20;o20_C1_Retrattile_AC;
#o21;o21_C1_RaffreddamentoAgo;
#o22;o22;
#o23;o23_Lentezza_Tasca_AD;
#o24;o24_Pinza_carico_Su_Giu;
#o25;o25_C1_Cambio_Pinze;
#o26;o26_C1_Scalino_Piedino;
#o27;o27_C1_Ranocchia_retrat;
#o28;o28;
#o29;o29;
#o30;o30;
#o31;o31_C1_bloccaFiloMagente;
#o32;o32_Enable_AssiXY_C1;
#o33;o33_Valvolone;
#o34;o34_CarPat_FrontBack;
#o35;o35_CarPat_Aghi;
#o36;o36_CarPat_SoffioAghi;
#o37;o37_CarPat_SoffiPattina;
